,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
27995,PG35242,The Awakening of Spring: A Tragedy of Childhood,"Wedekind, Frank",1864.0,1918.0,['en'],591,{'German drama -- Translations into English'},
28002,PG35249,A Japanese Boy,"Shiukichi, Shigemi",1865.0,1928.0,['en'],1460,"{'Japan -- Social life and customs -- 1868-1912', 'Shiukichi, Shigemi, 1865-1928'}",
28036,PG3527,The Blue Moon,"Housman, Laurence",1865.0,1959.0,['en'],37,{'Fairy tales'},
28038,PG35281,The Joyous Story of Toto,"Richards, Laura Elizabeth Howe",1850.0,1943.0,['en'],13,"{'Friendship -- Juvenile fiction', 'Blindness -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Animals -- Juvenile fiction', 'Grandmothers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'}",
28044,PG35287,"Awd Isaac, The Steeple Chase, and Other Poems: With a glossary of the Yorkshire Dialect","Castillo, John",1792.0,1845.0,['en'],21,"{'English language -- Dialects', 'English language -- Dialects -- England -- Yorkshire', 'English poetry', 'Yorkshire (England) -- Poetry', 'English poetry -- England -- Yorkshire'}",
28047,PG3528,"Beethoven, the Man and the Artist, as Revealed in His Own Words","Beethoven, Ludwig van",1770.0,1827.0,['en'],122,"{'Beethoven, Ludwig van, 1770-1827', 'Composers -- Germany -- Biography'}",
28054,PG35296,"Sir Brook Fossbrooke, Volume I.","Lever, Charles James",1806.0,1872.0,['en'],42,{'Fiction'},
28055,PG35297,"Sir Brook Fossbrooke, Volume II.","Lever, Charles James",1806.0,1872.0,['en'],17,{'Fiction'},
28056,PG35298,Rambles and Studies in Greece,"Mahaffy, J. P. (John Pentland)",1839.0,1919.0,['en'],31,"{'Art, Greek', 'Greece -- Description and travel'}",
28070,PG3530,Love-at-Arms: Being a Narrative Excerpted from the Chronicles of Urbino During The Dominion of the High and Mighty Messer Guidobaldo Da Montefeltro,"Sabatini, Rafael",1875.0,1950.0,['en'],68,"{'Borgia, Cesare, 1476?-1507 -- Fiction', 'Italy -- History -- 1492-1559 -- Fiction', 'Arranged marriage -- Fiction', 'Urbino (Italy) -- Fiction'}",
28071,PG35310,"The Childrens' Story of the War, Volume 1 (of 10): From the Beginning of the War to the Landing of the British Army in France","Parrott, Edward",1863.0,1921.0,['en'],95,"{'World War, 1914-1918 -- Juvenile literature'}",
28075,PG35314,"The Childrens' Story of the War, Volume 2 (of 10): From the Battle of Mons to the Fall of Antwerp.","Parrott, Edward",1863.0,1921.0,['en'],3,"{'World War, 1914-1918 -- Juvenile literature'}",
28084,PG35322,The Thistle and the Cedar of Lebanon,"Risk Allah, Habeeb",,,['en'],38,"{'Europe -- Description and travel', 'Risk Allah, Habeeb -- Travel -- Europe', 'Syria -- Description and travel', 'Risk Allah, Habeeb -- Travel -- Syria'}",
28117,PG35352,"Papers of the American Negro Academy. (The American Negro Academy. Occasional Papers, No. 18-19.)","Pickens, William",1881.0,1954.0,['en'],28,{'African Americans -- Congresses'},
28119,PG35354,Moral Theology: A Complete Course Based on St. Thomas Aquinas and the Best Modern Authorities,"McHugh, John A. (John Ambrose)",1880.0,1950.0,['en'],344,{'Christian ethics -- Catholic authors'},
28131,PG35365,Philip Massinger,"Cruickshank, Alfred Hamilton",1862.0,1927.0,['en'],28,"{'Massinger, Philip, 1583-1640 -- Criticism and interpretation'}",
28146,PG35379,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume X, Missouri Narratives",United States. Work Projects Administration,,,['en'],104,"{'Slave narratives -- Missouri', 'African Americans -- Missouri -- Biography', 'Slaves -- Missouri -- Biography', 'Slavery -- Missouri', 'Slaves -- Missouri -- Social conditions'}",
28147,PG3537,Frederick the Great and His Family: A Historical Novel,"Mühlbach, L. (Luise)",1814.0,1873.0,['en'],24,"{""Seven Years' War, 1756-1763 -- Fiction"", 'Frederick II, King of Prussia, 1712-1786 -- Fiction'}",
28148,PG35380,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume XVI, Texas Narratives, Part 3",United States. Work Projects Administration,,,['en'],205,"{'African Americans -- Texas -- Biography', 'Slavery -- Texas', 'Slaves -- Texas -- Biography', 'Slave narratives -- Texas', 'Slaves -- Texas -- Social conditions'}",
28149,PG35381,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume XVI, Texas Narratives, Part 4",United States. Work Projects Administration,,,['en'],327,"{'African Americans -- Texas -- Biography', 'Slavery -- Texas', 'Slaves -- Texas -- Biography', 'Slave narratives -- Texas', 'Slaves -- Texas -- Social conditions'}",
28154,PG35386,The Children's Story of the War Volume 4 (of 10): The Story of the Year 1915,"Parrott, Edward",1863.0,1921.0,['en'],51,"{'World War, 1914-1918 -- Juvenile literature'}",
28169,PG3539,The Love-chase,"Knowles, James Sheridan",1784.0,1862.0,['en'],53,"{'Comedies', 'English drama'}",
